timestamp,user_agent,type,device_token,device_type,page,activity
1661209470574,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone11,6",login,1b0b641ec0282b032bdc9e84f86b6c022af0c96d5f72ee47e20437accb23a516,iOS,,
1661209470576,"LAMP-dashboard/2022.8.4 Mozilla/5.0 (iPhone; CPU iPhone OS 15_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",login,,Dashboard,,
1661209470769,,open_page,,,assess,
1661209475258,,open_page,,,,
1661209475293,"LAMP-dashboard/2022.8.4 Mozilla/5.0 (iPhone; CPU iPhone OS 15_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",logout,,Dashboard,,
1661209475326,"NativeCore 2022.7.13; iOS 15.6.1; iPhone iPhone11,6",logout,,iOS,,
1661210524158,"NativeCore 2022.7.13; iOS 15.6; iPhone iPhone12,5",login,9a1e10e28f82ad96f92b9315a2ad493cb21f7ba62728f6958397ea825be0da0c,iOS,,
1661210524185,"LAMP-dashboard/2022.8.4 Mozilla/5.0 (iPhone; CPU iPhone OS 15_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",login,,Dashboard,,
1661210524821,,open_page,,,assess,
1661210546824,,open_page,,,,
1661210636936,,open_page,,,assess,
1661210642019,,open_page,,,,
1661211954338,,open_page,,,assess,
1661211982868,,open_page,,,,
